epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2722.73,1.04899,0.52279,1.01649,0.62981,0.62575,0.65903,0.46129,1.12488,0.48153,1.06099,0.000594321,0.000594321,0.000594321
61,2768.15,1.05194,0.51962,1.0143,0.64321,0.62601,0.65744,0.4607,1.1258,0.48763,1.06274,0.000580174,0.000580174,0.000580174
62,2813.32,1.05212,0.51721,1.01322,0.6313,0.64615,0.65938,0.46242,1.12225,0.4804,1.05821,0.000566027,0.000566027,0.000566027
63,2858.39,1.05004,0.51666,1.01181,0.61908,0.65881,0.65837,0.46245,1.12292,0.48295,1.06215,0.00055188,0.00055188,0.00055188
64,2903.59,1.04393,0.51645,1.01133,0.63189,0.62349,0.6581,0.46137,1.12476,0.48034,1.06341,0.000537733,0.000537733,0.000537733
65,2948.92,1.04797,0.5124,1.0104,0.62535,0.64594,0.65817,0.46391,1.12213,0.4764,1.06068,0.000523586,0.000523586,0.000523586
66,2994.18,1.03761,0.50537,1.00673,0.62885,0.62729,0.65614,0.46162,1.12205,0.48033,1.05953,0.000509438,0.000509438,0.000509438
67,3039.41,1.04635,0.50695,1.01124,0.64519,0.63186,0.6565,0.46205,1.12447,0.4819,1.06169,0.000495291,0.000495291,0.000495291
68,3084.92,1.04085,0.5041,1.00796,0.62982,0.63725,0.65649,0.46356,1.12442,0.48031,1.06114,0.000481144,0.000481144,0.000481144
69,3130.12,1.04055,0.50413,1.00715,0.63122,0.64044,0.65694,0.46236,1.12601,0.48146,1.06376,0.000466997,0.000466997,0.000466997
70,3175.27,1.03322,0.49882,1.00492,0.63937,0.64,0.65616,0.4625,1.12524,0.4834,1.06328,0.00045285,0.00045285,0.00045285
71,3220.66,1.02708,0.49665,1.00594,0.6336,0.63921,0.65577,0.46166,1.12578,0.48349,1.06569,0.000438703,0.000438703,0.000438703
72,3266.96,1.02389,0.49483,0.99878,0.64063,0.64103,0.656,0.46198,1.12913,0.4804,1.0655,0.000424556,0.000424556,0.000424556
73,3312.7,1.02004,0.49406,1.00169,0.64597,0.6362,0.6562,0.46076,1.12856,0.48252,1.06665,0.000410409,0.000410409,0.000410409
74,3358.68,1.02358,0.49042,1.00235,0.65731,0.64932,0.65783,0.46354,1.12519,0.48173,1.06546,0.000396262,0.000396262,0.000396262
75,3404.57,1.01418,0.48906,0.99914,0.63438,0.63501,0.65536,0.46121,1.12842,0.4834,1.06632,0.000382115,0.000382115,0.000382115
76,3450.17,1.01147,0.48699,0.99482,0.62967,0.63481,0.65471,0.46099,1.12795,0.48085,1.06539,0.000367967,0.000367967,0.000367967
